trip_id,start_time,end_time,headway_secs,exact_times
12P-R02,16:00:00,20:00:00,600,0
12P-R02,20:00:00,22:00:00,1200,0
12-R05,05:00:00,06:00:00,600,0
12-R05,06:00:00,09:00:00,300,0
12-R05,09:00:00,16:00:00,600,0
12-R05,16:00:00,20:00:00,300,0
12-R05,20:00:00,22:00:00,600,0
12-R04,05:00:00,06:00:00,600,0
12-R04,06:00:00,09:00:00,300,0
12-R04,09:00:00,16:00:00,600,0
12-R04,16:00:00,20:00:00,300,0
12-R04,20:00:00,22:00:00,600,0
L13E-R03,05:00:00,06:00:00,600,0
L13E-R03,06:00:00,09:00:00,300,0
L13E-R03,09:00:00,16:00:00,600,0
L13E-R03,16:00:00,20:00:00,300,0
L13E-R03,20:00:00,22:00:00,600,0
L13E-R08,05:00:00,06:00:00,600,0
L13E-R08,06:00:00,09:00:00,300,0
L13E-R08,09:00:00,16:00:00,600,0
L13E-R08,16:00:00,20:00:00,300,0
L13E-R08,20:00:00,22:00:00,600,0
13C-R03,05:00:00,06:00:00,600,0
13C-R03,06:00:00,09:00:00,300,0
13C-R03,09:00:00,16:00:00,600,0
13C-R03,16:00:00,20:00:00,300,0
13C-R03,20:00:00,22:00:00,600,0
13C-R04,05:00:00,06:00:00,600,0
13C-R04,06:00:00,09:00:00,300,0
13C-R04,09:00:00,16:00:00,600,0
13C-R04,16:00:00,20:00:00,300,0
13C-R04,20:00:00,22:00:00,600,0
13-R01,05:00:00,06:00:00,180,0
13-R01,06:00:00,09:00:00,90,0
13-R01,09:00:00,16:00:00,180,0
13-R01,16:00:00,20:00:00,90,0
13-R01,20:00:00,22:00:00,180,0
13-R02,05:00:00,06:00:00,180,0
13-R02,06:00:00,09:00:00,90,0
13-R02,09:00:00,16:00:00,180,0
13-R02,16:00:00,20:00:00,90,0
13-R02,20:00:00,22:00:00,180,0
14-R05,05:00:00,06:00:00,1200,0
14-R05,06:00:00,09:00:00,600,0
14-R05,09:00:00,16:00:00,1200,0
14-R05,16:00:00,20:00:00,600,0
14-R05,20:00:00,22:00:00,1200,0
14-R06,05:00:00,06:00:00,1200,0
14-R06,06:00:00,09:00:00,600,0
14-R06,09:00:00,16:00:00,1200,0
14-R06,16:00:00,20:00:00,600,0
14-R06,20:00:00,22:00:00,1200,0
1A-R09,05:00:00,06:00:00,1200,0
1A-R09,06:00:00,09:00:00,600,0
1A-R09,09:00:00,16:00:00,1200,0
1A-R09,16:00:00,20:00:00,600,0
1A-R09,20:00:00,22:00:00,1200,0
1A-R10,05:00:00,06:00:00,1200,0
1A-R10,06:00:00,09:00:00,600,0
1A-R10,09:00:00,16:00:00,1200,0
1A-R10,16:00:00,20:00:00,600,0
1A-R10,20:00:00,22:00:00,1200,0
1B-R01,05:00:00,06:00:00,1200,0
1B-R01,06:00:00,09:00:00,600,0
1B-R01,09:00:00,16:00:00,1200,0
1B-R01,16:00:00,20:00:00,600,0
1B-R01,20:00:00,22:00:00,1200,0
1B-R02,05:00:00,06:00:00,1200,0
1B-R02,06:00:00,09:00:00,600,0
1B-R02,09:00:00,16:00:00,1200,0
1B-R02,16:00:00,20:00:00,600,0
1B-R02,20:00:00,22:00:00,1200,0
1C-R01,05:00:00,06:00:00,1200,0
1C-R01,06:00:00,09:00:00,600,0
1C-R01,09:00:00,16:00:00,1200,0
1C-R01,16:00:00,20:00:00,600,0
1C-R01,20:00:00,22:00:00,1200,0
1C-R02,05:00:00,06:00:00,1200,0
1C-R02,06:00:00,09:00:00,600,0
1C-R02,09:00:00,16:00:00,1200,0
1C-R02,16:00:00,20:00:00,600,0
1C-R02,20:00:00,22:00:00,1200,0
1E-R01,05:00:00,06:00:00,1200,0
1E-R01,06:00:00,09:00:00,600,0
1E-R01,09:00:00,16:00:00,1200,0
1E-R01,16:00:00,20:00:00,600,0
1E-R01,20:00:00,22:00:00,1200,0
1E-R02,05:00:00,06:00:00,1200,0
1E-R02,06:00:00,09:00:00,600,0
1E-R02,09:00:00,16:00:00,1200,0
1E-R02,16:00:00,20:00:00,600,0
1E-R02,20:00:00,22:00:00,1200,0
1F-R01,05:00:00,06:00:00,1200,0
1F-R01,06:00:00,09:00:00,600,0
1F-R01,09:00:00,16:00:00,1200,0
1F-R01,16:00:00,20:00:00,600,0
1F-R01,20:00:00,22:00:00,1200,0
1F-R02,05:00:00,06:00:00,1200,0
1F-R02,06:00:00,09:00:00,600,0
1F-R02,09:00:00,16:00:00,1200,0
1F-R02,16:00:00,20:00:00,600,0
1F-R02,20:00:00,22:00:00,1200,0
1H-R01,05:00:00,06:00:00,1200,0
1H-R01,06:00:00,09:00:00,600,0
1H-R01,09:00:00,16:00:00,1200,0
1H-R01,16:00:00,20:00:00,600,0
1H-R01,20:00:00,22:00:00,1200,0
1H-R02,05:00:00,06:00:00,1200,0
1H-R02,06:00:00,09:00:00,600,0
1H-R02,09:00:00,16:00:00,1200,0
1H-R02,16:00:00,20:00:00,600,0
1H-R02,20:00:00,22:00:00,1200,0
1K-R01,05:00:00,06:00:00,1200,0
1K-R01,06:00:00,09:00:00,600,0
1K-R01,09:00:00,16:00:00,1200,0
1K-R01,16:00:00,20:00:00,600,0
1K-R01,20:00:00,22:00:00,1200,0
1K-R02,05:00:00,06:00:00,1200,0
1K-R02,06:00:00,09:00:00,600,0
1K-R02,09:00:00,16:00:00,1200,0
1K-R02,16:00:00,20:00:00,600,0
1K-R02,20:00:00,22:00:00,1200,0
1M-R03,05:00:00,06:00:00,1200,0
1M-R03,06:00:00,09:00:00,600,0
1M-R03,09:00:00,16:00:00,1200,0
1M-R03,16:00:00,20:00:00,600,0
1M-R03,20:00:00,22:00:00,1200,0
1M-R02,05:00:00,06:00:00,1200,0
1M-R02,06:00:00,09:00:00,600,0
1M-R02,09:00:00,16:00:00,1200,0
1M-R02,16:00:00,20:00:00,600,0
1M-R02,20:00:00,22:00:00,1200,0
1N-R05,05:00:00,06:00:00,1200,0
1N-R05,06:00:00,09:00:00,600,0
1N-R05,09:00:00,16:00:00,1200,0
1N-R05,16:00:00,20:00:00,600,0
1N-R05,20:00:00,22:00:00,1200,0
1N-R06,05:00:00,06:00:00,1200,0
1N-R06,06:00:00,09:00:00,600,0
1N-R06,09:00:00,16:00:00,1200,0
1N-R06,16:00:00,20:00:00,600,0
1N-R06,20:00:00,22:00:00,1200,0
1P-R03,05:00:00,06:00:00,1200,0
1P-R03,06:00:00,09:00:00,600,0
1P-R03,09:00:00,16:00:00,1200,0
1P-R03,16:00:00,20:00:00,600,0
1P-R03,20:00:00,22:00:00,1200,0
1P-R04,05:00:00,06:00:00,1200,0
1P-R04,06:00:00,09:00:00,600,0
1P-R04,09:00:00,16:00:00,1200,0
1P-R04,16:00:00,20:00:00,600,0
1P-R04,20:00:00,22:00:00,1200,0
1Q-R03,05:00:00,06:00:00,1200,0
1Q-R03,06:00:00,09:00:00,600,0
1Q-R03,09:00:00,16:00:00,1200,0
1Q-R03,16:00:00,20:00:00,600,0
1Q-R03,20:00:00,22:00:00,1200,0
1Q-R04,05:00:00,06:00:00,1200,0
1Q-R04,06:00:00,09:00:00,600,0
1Q-R04,09:00:00,16:00:00,1200,0
1Q-R04,16:00:00,20:00:00,600,0
1Q-R04,20:00:00,22:00:00,1200,0
1-R07,05:00:00,06:00:00,180,0
1-R07,06:00:00,09:00:00,90,0
1-R07,09:00:00,16:00:00,180,0
1-R07,16:00:00,20:00:00,90,0
1-R07,20:00:00,22:00:00,180,0
1-R08,05:00:00,06:00:00,180,0
1-R08,06:00:00,09:00:00,90,0
1-R08,09:00:00,16:00:00,180,0
1-R08,16:00:00,20:00:00,90,0
1-R08,20:00:00,22:00:00,180,0
1R-R05,05:00:00,06:00:00,1200,0
1R-R05,06:00:00,09:00:00,600,0
1R-R05,09:00:00,16:00:00,1200,0
1R-R05,16:00:00,20:00:00,600,0
1R-R05,20:00:00,22:00:00,1200,0
1R-R04,05:00:00,06:00:00,1200,0
1R-R04,06:00:00,09:00:00,600,0
1R-R04,09:00:00,16:00:00,1200,0
1R-R04,16:00:00,20:00:00,600,0
1R-R04,20:00:00,22:00:00,1200,0
2F-R01,05:00:00,06:00:00,1200,0
2F-R01,06:00:00,09:00:00,600,0
2F-R01,09:00:00,16:00:00,1200,0
2F-R01,16:00:00,20:00:00,600,0
2F-R01,20:00:00,22:00:00,1200,0
2F-R04,05:00:00,06:00:00,1200,0
2F-R04,06:00:00,09:00:00,600,0
2F-R04,09:00:00,16:00:00,1200,0
2F-R04,16:00:00,20:00:00,600,0
2F-R04,20:00:00,22:00:00,1200,0
2P-R05,05:00:00,06:00:00,1200,0
2P-R05,06:00:00,09:00:00,600,0
2P-R05,09:00:00,16:00:00,1200,0
2P-R05,16:00:00,20:00:00,600,0
2P-R05,20:00:00,22:00:00,1200,0
2P-R08,05:00:00,06:00:00,1200,0
2P-R08,06:00:00,09:00:00,600,0
2P-R08,09:00:00,16:00:00,1200,0
2P-R08,16:00:00,20:00:00,600,0
2P-R08,20:00:00,22:00:00,1200,0
2Q-R01,05:00:00,06:00:00,1200,0
2Q-R01,06:00:00,09:00:00,600,0
