route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
2F,SH,2F-R04,Rusun Cakung Barat - Pulo Gadung,1,,qiea
2H,SH,2H-R03,Rusun Jati Rawasari - Senen,0,,2H-R03_shp
2H,SH,2H-R04,Senen - Rusun Jati Rawasari,1,,2H-R04_shp
2P,SH,2P-R05,Gondangdia - Senen,0,,2P-R05_shp
2P,SH,2P-R08,Senen - Gondangdia,1,,s55r
2Q,SH,2Q-R01,Gondangdia - Balai Kota,0,,2Q-R01_shp
2Q,SH,2Q-R02,Balai Kota - Gondangdia,1,,2Q-R02_shp
2,SH,2-R04,Monas - Pulo Gadung,1,,7maa
2,SH,2-R05,Pulo Gadung - Monas via Veteran,0,,0d2b
3A,SH,3A-R01,Rusun Pesakih - Kalideres,0,,3A-R01_shp
3A,SH,3A-R02,Kalideres - Rusun Pesakih,1,,3A-R02_shp
3B,SH,3B-R03,Rusun Flamboyan - Cengkareng,0,,3B-R03_shp
3B,SH,3B-R04,Cengkareng - Rusun Flamboyan,1,,3B-R04_shp
3C,SH,3C-R01,Rusun Kapuk Muara - Penjaringan,0,,3C-R01_shp
3C,SH,3C-R02,Penjaringan - Rusun Kapuk Muara,1,,3C-R02_shp
3E,SH,3E-R07,Sentraland Cengkareng - Puri Kembangan,0,,9cex
3E,SH,3E-R06,Puri Kembangan - Sentraland Cengkareng,1,,3E-R06_shp
3F,SH,3F-R01,Kalideres - Gelora Bung Karno,0,,3F-R01_shp
3F,SH,3F-R02,Gelora Bung Karno - Kalideres,1,,3F-R02_shp
3H,SH,3H-R04,Kota - Jelambar,1,,ly6c
3H,SH,3H-R05,St. Pesing - Kota,0,,xahk
3,HR,3-R05,Kalideres - Monas via Veteran,0,,z4hg
3,HM,3-R05C,Kalideres - Monas via Veteran,0,,3-R05C_shp
3,HR,3-R06,Monas - Kalideres via Veteran,1,,6jrs
3,HM,3-R06C,Monas - Kalideres via Veteran,1,,3-R06C_shp
3,HM,3-R13,Kalideres - RS Sumber Waras (CFD Jakpus),0,,gh5d
3,HM,3-R14,RS Sumber Waras - Kalideres (CFD Jakpus),1,,xxkz
4B,SH,4B-R01,Stasiun Manggarai - Universitas Indonesia,0,,4B-R01_shp
4B,SH,4B-R02,Universitas Indonesia - Stasiun Manggarai,1,,4B-R02_shp
4C,SH,4C-R05,Pemuda Merdeka - Bundaran Senayan,0,,ayiz
4C,SH,4C-R06,Bundaran Senayan - Pemuda Merdeka,1,,xn1v
4D,SH,4D-R01,Pulo Gadung - Kuningan,0,,e5u4
4D,SH,4D-R02,Kuningan - Pulo Gadung,1,,2dff
4E,SH,4E-R01,Rusun Jatinegara Kaum - Pulo Gadung,0,,4E-R01_shp
4E,SH,4E-R03,Pulo Gadung - Rusun Jatinegara Kaum,1,,4E-R03_shp
4F,SH,4F-R03,Pinang Ranti - Pulo Gadung,0,,gywy
4F,SH,4F-R04,Pulo Gadung - Pinang Ranti,1,,4F-R04_shp
4,HR,4-R10,Pulo Gadung - Galunggung,0,,s9j4
4,HM,4-R10C,Pulo Gadung - Galunggung,0,,4-R10C_shp
4,HR,4-R11,Galunggung - Pulo Gadung,1,,8swd
4,HM,4-R11C,Galunggung - Pulo Gadung,1,,4-R11C_shp
4,HM,4-R12,Pulo Gadung - Galunggung via Bermis (CFD),0,,7q1c
4,HM,4-R13,Galunggung - Pulo Gadung via Bermis (CFD),1,,7l7w
5B,SH,5B-R05,Stasiun Tebet - Bidara Cina,0,,lhk3
5B,SH,5B-R06,Bidara Cina - Stasiun Tebet,1,,vhge
5C,SH,5C-R09,Cililitan - Juanda,1,,nfz8
5C,SH,5C-R10,Juanda - PGC,0,,8wrf
5D,SH,5D-R01,Cililitan - Ancol,1,,5D-R01_shp
5D,SH,5D-R02,Ancol - PGC,0,,5D-R02_shp
5F,SH,5F-R03,Kampung Melayu - Tanah Abang,0,,mjsb
5F,SH,5F-R04,Tanah Abang - Kampung Melayu,1,,9mxc
5M,SH,5M-R04,Tanah Abang - Kampung Melayu,1,,5M-R04_shp
5M,SH,5M-R05,Kampung Melayu - Tanah Abang via Cikini,0,,d2wc
5N,SH,5N-R01,Kampung Melayu - Ragunan,0,,5N-R01_shp
5N,SH,5N-R02,Ragunan - Kampung Melayu,1,,5N-R02_shp
5,SH,5-R01,Kampung Melayu - Ancol,0,,7gcp
5,SH,5-R02,Ancol - Kampung Melayu,1,,06fg
6A,SH,6A-R07,Balai Kota - Ragunan via Kuningan,1,,cn44
6A,SH,6A-R08,Ragunan - Balai Kota via Kuningan,1,,9n43
6B,SH,6B-R07,Balai Kota - Ragunan via Semanggi,0,,0mgr
6B,SH,6B-R08,Ragunan - Balai Kota via Semanggi,1,,agap
6C,SH,6C-R03,Stasiun Tebet - Kuningan,0,,1fh5
6C,SH,6C-R04,Kuningan - Stasiun Tebet,1,,neg8
6D,SH,6D-R03,Stasiun Tebet - Bundaran Senayan,1,,6D-R03_shp
6D,SH,6D-R04,Bundaran Senayan - Stasiun Tebet,0,,6D-R04_shp
6H,SH,6H-R04,Lebak Bulus - Senen,1,,6H-R04_shp
6H,SH,6H-R05,Senen - Lebak Bulus,0,,phlx
6K,SH,6K-R03,Kuningan - Karet,0,,57jt
6K,SH,6K-R04,Karet - Kuningan,1,,psf2
6M,SH,6M-R01,Stasiun Manggarai - Blok M,0,,qa3s
6M,SH,6M-R02,Blok M - Stasiun Manggarai,1,,11om
6N,SH,6N-R03,Ragunan - Blok M via Kemang,0,,6N-R03_shp
6N,SH,6N-R04,Blok M - Ragunan via Kemang,1,,6N-R04_shp
6P,SH,6P-R01,Cibubur - Kuningan,0,,6P-R01_shp
6P,SH,6P-R02,Kuningan - Cibubur,1,,6P-R02_shp
6Q,SH,6Q-R07,Casablanca - Dukuh Atas via Epincentrum Raya,1,,w2h8
6Q,SH,6Q-R08,Galunggung - Casablanca via Epicentrum Raya,0,,vs20
6,SH,6-R03,Ragunan - Galunggung,0,,f8tv
6,SH,6-R04,Galunggung - Ragunan,1,,vpwb
6T,SH,6T-R03,Pasar Minggu - Velbak via Jeruk Purut,0,,jcpj
6T,SH,6T-R04,Velbak - Pasar Minggu via Jeruk Purut,1,,rg9n
6U,SH,6U-R01,Blok M - Pasar Minggu,0,,j9gs
6U,SH,6U-R02,Pasar Minggu - Blok M,1,,b0x4
6V,SH,6V-R01,Ragunan - Gelora Bung Karno,0,,w9zp
6V,SH,6V-R02,Gelora Bung Karno - Ragunan,1,,wdd8
7A,SH,7A-R01,Kampung Rambutan - Lebak Bulus,0,,7A-R01_shp
7A,SH,7A-R02,Lebak Bulus - Kampung Rambutan,1,,7A-R02_shp
7B,SH,7B-R02,Blok M - Kampung Rambutan,1,,7B-R02_shp
7B,SH,7B-R03,Kampung Rambutan - Blok M,0,,7B-R03_shp
7C,SH,7C-R01,Cibubur - Cawang Cililitan,0,,7C-R01_shp
7C,SH,7C-R02,Cawang Cililitan - Cibubur,1,,7C-R02_shp
7D,SH,7D-R16,TMII - Tegal Parang,0,,oxoo
7D,SH,7D-R18,Tegal Parang - TMII,1,,8mx3
7E,SH,7E-R01,Kampung Rambutan - Ragunan,0,,7E-R01_shp
7E,SH,7E-R05,Ragunan - Kampung Rambutan,1,,7E-R05_shp
7F,SH,7F-R05,Kampung Rambutan - Juanda,0,,14r8
7F,SH,7F-R06,Juanda - Kampung Rambutan,1,,3ggl
7P,SH,7P-R03,Pondok Kelapa - Cawang Sentral,0,,k64j
7P,SH,7P-R04,Cawang Sentral - Pondok Kelapa,1,,2exj
7Q,SH,7Q-R01,Blok M - PGC,0,,7Q-R01_shp
7Q,SH,7Q-R02,PGC - Blok M,1,,7Q-R02_shp
7,SH,7-R01,Kampung Rambutan - Kampung Melayu,0,,jzgu
7,SH,7-R02,Kampung Melayu - Kampung Rambutan,1,,6y7e
7R,HK,7R-R01,Cibubur - Pluit,0,,g49w
7T,HK,7T-R01,Cibubur - Tanjung Priok,0,,jtn1
7U,HK,7U-R01,Cibubur - Ancol,0,,avs0
7V,SH,7V-R01,Cibubur - Kampung Rambutan,0,,t566
7V,SH,7V-R02,Kampung Rambutan - Cibubur,1,,2e1d
7W,SH,7W-R01,Cawang - St. Kereta Cepat Halim,0,,lxvv
7W,SH,7W-R02,St. Kereta Cepat Halim - Cawang,1,,zapd
7W,SH,7W-R03,Cawang Soetoyo - BNN,0,,y7u9
7W,SH,7W-R04,BNN - Cawang Soetoyo,1,,dyf7
8A,HM,8A-R05,Jelambar - Pasar Baru,0,,3pbz
8A,HM,8A-R06,Pasar Baru - Jelambar,1,,fzku
8C,SH,8C-R05,Kebayoran - Tanah Abang,0,,g8xe
8C,SH,8C-R06,Tanah Abang - Kebayoran,1,,ux4b
8D,SH,8D-R03,Blok M - Joglo,0,,g717
8D,SH,8D-R04,Joglo - Blok M,1,,h02n
8E,SH,8E-R01,Bintaro - Blok M,0,,8E-R01_shp
8E,SH,8E-R03,Blok M - Bintaro,1,,xhbh
8K,SH,8K-R05,Batu Sari - Jelambar,0,,gl7q
8K,SH,8K-R07,Jelambar - Batu Sari,1,,nvly
8M,SH,8M-R02,Tanah Abang - Tanjung Duren,1,,8M-R02_shp
8M,SH,8M-R03,Tanjung Duren - Tanah Abang,0,,rrvd
8,SH,8-R04,Pasar Baru - Lebak Bulus,1,,8-R04_shp
8,SH,8-R07,Lebak Bulus - Pasar Baru,0,,jl9u
9A,SH,9A-R05,Cililitan - Kali Grogol,0,,w55k
9A,SH,9A-R06,Kali Grogol - Cililitan,1,,znif
9C,SH,9C-R01,Pinang Ranti - Bundaran Senayan,0,,nbut
9C,SH,9C-R02,Bundaran Senayan - Pinang Ranti,1,,76io
9D,SH,9D-R04,Pasar Minggu - Tanah Abang,0,,9D-R04_shp
9D,SH,9D-R05,Tanah Abang - Pasar Minggu,1,,qso3
9E,SH,9E-R01,Kebayoran Lama - Jelambar,0,,9E-R01_shp
9E,SH,9E-R03,Jelambar - Pasar Kebayoran Lama,1,,zl3f
9F,SH,9F-R01,Rusun Tambora - Pluit,0,,9F-R01_shp
9F,SH,9F-R02,Pluit - Rusun Tambora,1,,9F-R02_shp
9H,SH,9H-R11,Cipedak - Pasar Minggu,0,,9H-R11_shp
9H,SH,9H-R12,Pasar Minggu - Cipedak,1,,9H-R12_shp
9N,SH,9N-R03,Pinang Ranti - Simpang Cawang,0,,ptzz
9N,SH,9N-R04,Simpang Cawang - Pinang Ranti,1,,l7sv
9,SH,9-R01,Pinang Ranti - Pluit,0,,9-R01_shp
