route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
JAK.34,SH,JAK.34-R01,Klender - Rawamangun,0,,JAK.34-R01_shp
JAK.34,SH,JAK.34-R02,Rawamangun - Klender,1,,JAK.34-R02_shp
JAK.35,SH,JAK.35-R03,Rawamangun - Pangkalan Jati,1,,JAK.35-R03_shp
JAK.35,SH,JAK.35-R05,Pangkalan Jati - Rawamangun,0,,JAK.35-R05_shp
JAK.36,SH,JAK.36-R03,Cilangkap - Cililitan,0,,2yrb
JAK.36,SH,JAK.36-R04,Cililitan - Cilangkap,1,,nwut
JAK.37,SH,JAK.37-R01,Cililitan - Condet Via Kayu Manis,0,,JAK.37-R01_shp
JAK.37,SH,JAK.37-R03,Condet - Cililitan via Kayu Manis,1,,y8zn
JAK.38,SH,JAK.38-R01,Bulak Ringin - Kampung Rambutan,0,,JAK.38-R01_shp
JAK.38,SH,JAK.38-R02,Kampung Rambutan - Bulak Ringin,1,,JAK.38-R02_shp
JAK.39,SH,JAK.39-R01,Duren Sawit - Kalimalang,0,,JAK.39-R01_shp
JAK.39,SH,JAK.39-R02,Kalimalang - Duren Sawit,1,,JAK.39-R02_shp
JAK.40,SH,JAK.40-R02,Pulo Gebang - Harapan Baru via Rawa Kuning,1,,JAK.40-R02_shp
JAK.40,SH,JAK.40-R03,Harapan Baru - Pulo Gebang Via Rawa Kuning,0,,JAK.40-R03_shp
JAK.41,SH,JAK.41-R01,Kampung Melayu - Pulo Gadung,0,,JAK.41-R01_shp
JAK.41,SH,JAK.41-R02,Pulo Gadung - Kampung Melayu,1,,JAK.41-R02_shp
JAK.42,SH,JAK.42-R01,Kampung Melayu - Pondok Kelapa,0,,JAK.42-R01_shp
JAK.42,SH,JAK.42-R02,Pondok Kelapa - Kampung Melayu,1,,JAK.42-R02_shp
JAK.43B,SH,JAK.43B-R01,Tongtek - Tebet Eco Park (TEP) - Cililitan,0,,JAK.43B-R01_shp
JAK.43B,SH,JAK.43B-R02,Cililitan - Tebet Eco Park (TEP) - Tongtek,1,,JAK.43B-R02_shp
JAK.43C,SH,JAK.43C-R01,Sarana Jaya - Tebet Eco Park (TEP) - Stasiun Cawang,0,,JAK.43C-R01_shp
JAK.43C,SH,JAK.43C-R02,Stasiun Cawang - Tebet Eco Park (TEP) - Sarana Jaya,1,,JAK.43C-R02_shp
JAK.44,SH,JAK.44-R01,Andara - Stasiun Universitas Pancasila,0,,JAK.44-R01_shp
JAK.44,SH,JAK.44-R02,Stasiun Universitas Pancasila - Andara,1,,JAK.44-R02_shp
JAK.45,SH,JAK.45-R01,Lebak Bulus - Ragunan,0,,JAK.45-R01_shp
JAK.45,SH,JAK.45-R02,Ragunan - Lebak Bulus,1,,JAK.45-R02_shp
JAK.46,SH,JAK.46-R01,Jagakarsa - Pasar Minggu,0,,JAK.46-R01_shp
JAK.46,SH,JAK.46-R02,Pasar Minggu - Jagakarsa,1,,JAK.46-R02_shp
JAK.47,SH,JAK.47-R03,Ciganjur - Pasar Minggu via KB Ragunan,0,,z0ac
JAK.47,SH,JAK.47-R04,Pasar Minggu - Ciganjur via KB Ragunan,1,,cjzm
JAK.48A,SH,JAK.48A-R01,Stasiun Tebet - Rusun Karet Tengsin,0,,8nsx
JAK.48A,SH,JAK.48A-R02,Rusun Karet Tengsin - Stasiun Tebet,1,,i7x0
JAK.49,SH,JAK.49-R06,Cipulir - Lebak Bulus,0,,s8jt
JAK.49,SH,JAK.49-R07,Lebak Bulus - Cipulir,1,,f10m
JAK.50,SH,JAK.50-R01,Kalideres - Puri Kembangan,0,,JAK.50-R01_shp
JAK.50,SH,JAK.50-R03,Puri Kembangan - Kalideres,1,,JAK.50-R03_shp
JAK.51,SH,JAK.51-R01,Budi Luhur - Taman Kota,0,,JAK.51-R01_shp
JAK.51,SH,JAK.51-R02,Taman Kota - Budi Luhur,1,,JAK.51-R02_shp
JAK.52,SH,JAK.52-R06,Terminal Kalideres - Terminal Muara Angke,0,,izfu
JAK.52,SH,JAK.52-R07,Terminal Muara Angke - Terminal Kalideres,1,,jm1x
JAK.53,SH,JAK.53-R01,Grogol - Pos Pengumben via Slipi,0,,JAK.53-R01_shp
JAK.53,SH,JAK.53-R02,Grogol - Pos Pengumben via Slipi,1,,JAK.53-R02_shp
JAK.54,SH,JAK.54-R01,Benhil - Grogol,0,,JAK.54-R01_shp
JAK.54,SH,JAK.54-R02,Grogol - Benhil,1,,JAK.54-R02_shp
JAK.56,SH,JAK.56-R03,Srengseng - Grogol,1,,JAK.56-R03_shp
JAK.56,SH,JAK.56-R04,Grogol - Srengseng,0,,JAK.56-R04_shp
JAK.58,SH,JAK.58-R03,Cilincing - Rorotan,0,,JAK.58-R03_shp
JAK.58,SH,JAK.58-R04,Rorotan - Cilincing,1,,JAK.58-R04_shp
JAK.59,SH,JAK.59-R05,Rawamangun - Tanah Merah,1,,0n91
JAK.59,SH,JAK.59-R06,Tanah Merah - Rawasengon,0,,wkgs
JAK.60,SH,JAK.60-R03,Kelapa Gading - Rusun Kemayoran,0,,JAK.60-R03_shp
JAK.60,SH,JAK.60-R04,Rusun Kemayoran - Kelapa Gading,1,,JAK.60-R04_shp
JAK.61,SH,JAK.61-R01,Cempaka Putih - Pulo Gadung Via Kelapa Gading,0,,JAK.61-R01_shp
JAK.61,SH,JAK.61-R02,Pulo Gadung - Cempaka Putih Via Kelapa Gading,1,,JAK.61-R02_shp
JAK.64,SH,JAK.64-R01,Aseli - Lenteng Agung,0,,JAK.64-R01_shp
JAK.64,SH,JAK.64-R02,Lenteng Agung - Aseli,1,,JAK.64-R02_shp
JAK.71,SH,JAK.71-R01,Kampung Rambutan - Pinang Ranti,0,,JAK.71-R01_shp
JAK.71,SH,JAK.71-R02,Pinang Ranti - Kampung Rambutan,1,,JAK.71-R02_shp
JAK.72,SH,JAK.72-R01,Kampung Rambutan - Pasar Rebo Via Poncol,0,,JAK.72-R01_shp
JAK.72,SH,JAK.72-R02,Pasar Rebo - Kampung Rambutan Via Poncol,1,,JAK.72-R02_shp
JAK.73,SH,JAK.73-R03,St. LRT Harjamukti - Kramat Jati,0,,zjnw
JAK.73,SH,JAK.73-R04,Kramat Jati - St. LRT Harjamukti,1,,68hy
JAK.74,SH,JAK.74-R01,Cipinang Muara - Rawamangun,0,,JAK.74-R01_shp
JAK.74,SH,JAK.74-R02,Rawamangun - Cipinang Muara,1,,JAK.74-R02_shp
JAK.75,SH,JAK.75-R01,Cililitan - Kampung Pulo,0,,JAK.75-R01_shp
JAK.75,SH,JAK.75-R03,Kampung Pulo - Cililitan,1,,3b9p
JAK.76,SH,JAK.76-R01,Jln. Industri Raya - Perintis Kemerdekaan,0,,ce1y
JAK.76,SH,JAK.76-R02,Perintis Kemerdekaan - Jln. Industri Raya,1,,aorq
JAK.77,SH,JAK.77-R01,Jembatan Item - Tanjung Priok,0,,JAK.77-R01_shp
JAK.77,SH,JAK.77-R02,Tanjung Priok - Jembatan Item,1,,JAK.77-R02_shp
JAK.80,SH,JAK.80-R01,Rawa Buaya - Rawa Kompeni,0,,JAK.80-R01_shp
JAK.80,SH,JAK.80-R03,Rawa Kompeni - Rawa Buaya,1,,JAK.80-R03_shp
JAK.84,SH,JAK.84-R03,Kampung Melayu - Pangkalan Jati,0,,JAK.84-R03_shp
JAK.84,SH,JAK.84-R04,Pangkalan Jati - Kampung Melayu,1,,ritj
JAK.85,SH,JAK.85-R01,Bintara - Cipinang Indah,0,,JAK.85-R01_shp
JAK.85,SH,JAK.85-R02,Cipinang Indah - Bintara,1,,JAK.85-R02_shp
JAK.86,SH,JAK.86-R03,Term. Rawamangun - Term. Manggarai,0,,wuw9
JAK.86,SH,JAK.86-R04,Term. Manggarai - Term. Rawamangun,1,,qyqk
JAK.87,SH,JAK.87-R01,Terminal Tanjung Priok - Terminal Rawamangun,0,,t0mm
JAK.87,SH,JAK.87-R02,Terminal Rawamangun - Terminal Tanjung Priok,1,,oukm
JAK.88,SH,JAK.88-R01,Terminal Tanjung Priok - Ancol Barat,0,,JAK.88-R01_shp
JAK.88,SH,JAK.88-R02,Ancol Barat - Terminal Tanjung Priok,1,,JAK.88-R02_shp
JAK.89,SH,JAK.89-R01,Terminal Tanjung Priok - Taman Kota Intan,0,,ffuw
JAK.89,SH,JAK.89-R02,Taman Kota Intan - Terminal Tanjung Priok,1,,uatj
JAK.90,SH,JAK.90-R01,Terminal Tanjung Priok - Rusun Kemayoran,0,,uivq
JAK.90,SH,JAK.90-R02,Rusun Kemayoran - Terminal Tanjung Priok,1,,8exo
JAK.93,SH,JAK.93-R01,Jeruk Purut - Kebayoran Lama,0,,hq9b
JAK.93,SH,JAK.93-R02,Kebayoran Lama - Jeruk Purut,1,,u9a9
JAK.95,SH,JAK.95-R01,Term. Lebak Bulus - Term. Pasar Minggu,0,,ojc9
JAK.95,SH,JAK.95-R02,Term. Pasar Minggu - Term. Lebak Bulus,1,,qlek
JAK.98,SH,JAK.98-R01,Term. Kampung Rambutan - Munjul,0,,7ako
JAK.98,SH,JAK.98-R02,Munjul - Term. Kampung Rambutan,1,,ua2b
JAK.99,SH,JAK.99-R01,Term. Pulo Gadung - Lampiri,0,,JAK.99-R01_shp
JAK.99,SH,JAK.99-R02,Lampiri - Term. Pulo Gadung,1,,JAK.99-R02_shp
L13E,SH,L13E-R03,Puri Beta - Flyover Kuningan (Express),0,,L13E-R03_shp
L13E,SH,L13E-R08,Flyover Kuningan - Puri Beta (Express),1,,0tbs
M10,SH,M10-R01,PGC - Tanjung Priok,0,,M10-R01_shp
M10,SH,M10-R02,Tanjung Priok - PGC,1,,M10-R02_shp
M11,SH,M11-R03,Pulo Gebang - Kampung Melayu,0,,ulrj
M11,SH,M11-R04,Kampung Melayu - Pulo Gebang,1,,fmil
M12,SH,M12-R02,Penjaringan - Sunter Boulevard Barat,1,,M12-R02_shp
M12,SH,M12-R03,Sunter Boulevard Barat - Penjaringan,0,,M12-R01_shp
M13,SH,M13-R01,Puri Beta 2 - Tegal Mampang,0,,M13-R01_shp
M13,SH,M13-R02,Tegal Mampang - Puri Beta 2,1,,M13-R02_shp
M14,SH,M14-R01,Jakarta International Stadium - Senen,0,,iroi
M14,SH,M14-R02,Senen - Jakarta International Stadium,1,,aajg
M1,SH,M1-R05,Blok M - Kota via Koridor 9,0,,2dmc
M1,SH,M1-R06,Kota - Blok M via Koridor 9,1,,1d11
M2,SH,M2-R03,Pulo Gadung - Monas,1,,vcut
M2,SH,M2-R04,Monas - Pulo Gadung,0,,0nuu
M3,SH,M3-R07,Kalideres - Monas via Veteran,0,,qtlc
M3,SH,M3-R08,Monas - Kalideres via Veteran,1,,paxl
M4,SH,M4-R05,Pulo Gadung - Galunggung,0,,3nol
M4,SH,M4-R06,Galunggung - Pulo Gadung,1,,1jly
M5,SH,M5-R01,Cililitan - Ancol,0,,M5-R01_shp
M5,SH,M5-R02,Ancol - PGC,1,,M5-R02_shp
M6,SH,M6-R05,Ragunan - Galunggung,0,,zwyz
M6,SH,M6-R06,Galunggung - Ragunan,1,,kqjq
M7,SH,M7-R05,Kampung Rambutan - Kampung Melayu,0,,3agi
M7,SH,M7-R06,Kampung Melayu - Kampung Rambutan,1,,lai5
M8,SH,M8-R04,Pasar Baru - Lebak Bulus,1,,zt0f
M8,SH,M8-R05,Lebak Bulus - Pasar Baru,0,,7qxz
M9,SH,M9-R01,Pinang Ranti - Pluit,0,,M9-R01_shp
M9,SH,M9-R02,Pluit - Pinang Ranti,1,,M9-R02_shp
S11,SH,S11-R05,BSD - Jelambar,0,,c9wg
S11,SH,S11-R06,Jelambar - BSD,1,,cecm
S12,HK,S12-R05,Term. BSD - Fatmawati,0,,rs5z
S12,HK,S12-R06,Fatmawati - Term. BSD,1,,mynx
S13,HK,S13-R01,Summarecon Serpong - Tomang Raya,0,,4fxq
S13,HK,S13-R02,Tomang Raya - Summarecon Serpong,1,,y6s4
S14,HK,S14-R01,Summarecon Serpong - Lebak Bulus,0,,cipn
S14,HK,S14-R02,Lebak Bulus - Summarecon Serpong,1,,pgvd
S21,SH,S21-R03,Ciputat - Kejaksaan Agung,0,,S21-R03_shp
S21,SH,S21-R04,Kejaksaan Agung - Ciputat,1,,S21-R04_shp
S22,SH,S22-R01,Ciputat - Kampung Rambutan,0,,S22-R01_shp
S22,SH,S22-R02,Kampung Rambutan - Ciputat,1,,S22-R02_shp
S31,HK,S31-R01,Bintaro - Fatmawati,0,,S31-R01_shp
S31,HK,S31-R02,Fatmawati - Bintaro,1,,S31-R02_shp
SH1,SH,SH1-R01,Kalideres - Perkantoran Soekarno-Hatta,0,,g14t
SH1,SH,SH1-R02,Perkantoran Soekarno-Hatta - Kalideres,1,,phtm
T11,SH,T11-R08,Poris Plawad - Petamburan,0,,lbjj
T11,SH,T11-R09,Petamburan - Poris Plawad,1,,5oh5
T12,HK,T12-R02,Juanda - Poris Plawad,1,,T12-R02_shp
T12,HK,T12-R03,Poris Plawad - Juanda,0,,p1qd
6W,SH,6W-R03,Duren Tiga - Blok M via Bangka Raya,0,,lugw
6W,SH,6W-R04,Blok M - Duren Tiga via Bangka Raya,1,,o46s
10M,SH,10M-R01,Pulo Gadung - Walikota Jakarta Utara via Tipar Cakung,0,,e8q1
10M,SH,10M-R02,Walikota Jakarta Utara - Pulo Gadung via Tipar Cakung,1,,3ai8
3D,SH,3D-R03,Taman Kota - Penjaringan via Tubagus Angke,0,,gfcj
3D,SH,3D-R04,Penjaringan - Taman Kota via Tubagus Angke,1,,zk01
