trip_id,start_time,end_time,headway_secs,exact_times
3-R05C,20:00:00,22:00:00,180,0
3-R06C,11:00:00,16:00:00,180,0
3-R06C,16:00:00,20:00:00,90,0
3-R06C,20:00:00,22:00:00,180,0
3-R13,05:00:00,06:00:00,180,0
3-R13,06:00:00,09:00:00,90,0
3-R13,09:00:00,11:00:00,180,0
3-R14,05:00:00,06:00:00,180,0
3-R14,06:00:00,09:00:00,90,0
3-R14,09:00:00,11:00:00,180,0
